UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
1CM008,CFM56-5-A1,,CFMI,CFM56 Evaluation Engineering,Peebles Site IIIC,19-Nov-86,20-Nov-86,TF,6.0 ,26.6,111.2,-,4.0 ,20.4 ,285 ,34.2 ,4506 ,20.3,Jet A,1.95,94.70-95.60,1. Ref GE Report R87AEB368.  2. Engine S/N 730002/2.  3. Data revised and corrected April 93.
1CM009,CFM56-5A3,,CFMI,CFM56 Evaluation Engineering,Peebles Site IIIC,19-Nov-86,20-Nov-86,TF,6.0 ,27.9,117.88,-,3.5 ,18.1 ,268 ,30.8 ,5110 ,21.6,Jet A,1.95,94.70-95.60,1. Ref GE Reports R89AEB316 and R87AEB386.  2. Engine S/N 730002/2.
4CM035,CFM56-5A4,,CFMI,CFM56 Evaluation Engineering,Peebles Site IIIC,19-Nov-86,20-Nov-86,TF,6,23.8,97.89,-,5.1 ,25.9 ,322 ,41.9 ,3851 ,17.9,Jet A,1.95,94.70-95.60,1.  Ref GE Reports R89AEB316 and R87AEB386  2.  Engine S/N 730002/2
4CM036,CFM56-5A5,,CFMI,CFM56 Evaluation Engineering,Peebles Site IIIC,19-Nov-86,20-Nov-86,TF,6,25.1,104.53,-,4.3 ,22.0 ,297 ,37.2 ,4367 ,18.4,Jet A,1.95,94.70-95.60,1.  Ref GE Reports R89AEB316 and R87AEB386  2.  Engine S/N 730002/2
2CM012,CFM56-5B1,,CFMI,CFM56 Evaluation Engineering,Peebles Site IIIB,7-Oct-92,8-Oct-92,TF,5.7,30.2,133.45,-,7.1 ,36.1 ,617 ,49.7 ,7783 ,13.5,Jet A,1.93,97.49 - 98.18,1. Ref GE Report R92AEB262.  2. Engine S/N 779101
2CM016,CFM56-5B1/2,DAC,CFMI,CFM56 Evaluation Engineering,PTO Site IIIC,15-Jun-94,1-Jul-94,TF,5.7,30.2,133.45,-,11.3 ,57.7 ,1168 ,90.6 ,5314 ,5.6,Jet A,1.93,100.67-101.01,1. Ref GE Report CR-797/2.  2. Engine S/N 779131/001 & 779132/001  3. DAC combustor
3CM020,CFM56-5B1/2P,DAC-II,CFM International,GEAE Peebles Testing Facility + Techspace Aero (CFMI),"Peebles Ohio, USE + Liers, Belgium",Aug-96,Sep-96,TF,5.7,30.5,133.5,-,8.8 ,44.9 ,891 ,80.3 ,5024 ,2.5,Jet A,1.93,98.5-99.74,DAC-II Combustor P/N 1968M99G04
8CM052,CFM56-5B1/3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",Sep-05,Mar-06,TF,5.5,30.2,133.4,,2.1,10.7,240,40.4,5749,16.4,Jet A,1.92 - 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3 Rev1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
3CM023,CFM56-5B1/P,,GE,CFM56-5B Eval Engineering,"Techspace-Aero Facility, Liege, Belgium",Nov-95,,TF,5.7,30.47,133.45,-,8.2 ,41.8 ,710 ,34.4 ,7112 ,7.0,Jet A,1.92,98.2-99.6,"1. FAA Certification Report CR-797/P, June 95.  2. Engine S/N 779-194/1"
2CM013,CFM56-5B2,,CFMI,CFM56 Evaluation Engineering,Peebles Site IIIB,Oct-92,Oct-92,TF,5.6,31.3,137.9,-,6.6 ,33.9 ,596 ,47.4 ,8485 ,13.0,Jet A,1.93,97.49 - 98.18,1. Ref GE Report R92AEB262.  2. Engine S/N 779101
