UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
1KK005,NK-86MA,,KKBM,KKBM,Samara City,18-Jul-87,20-Jan-90,MTF,1.13,13.2,130.47,-,15.2 ,77.4 ,1773 ,100.5 ,4633 ,10.5,TS-1,2,101.2-102.4,1. NK-86A with modified combustor.  2. For IL-86 aircraft.
11PJ001,SaM146-1S17,,PowerJet S.A.,PowerJet S.A.,"Test facilities  Snecma in Villaroche, France and NPO-Saturn in Rybinsk, Russia",1-Jul-09,1-May-11,MTF,4.44,21.85,69.21,-,3.1 ,15.8 ,167 ,78.6 ,2695 ,14.8,JET-A1,1.924,100.43 -101.26,"1. Test engine 146-006/1A and test engine 146-101/3  2. Certification report CR-037 Rev.1 and CR-037 S1  3. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
11PJ002,SaM146-1S18,,PowerJet S.A.,PowerJet S.A.,"Test facilities  Snecma in Villaroche, France and NPO-Saturn in Rybinsk, Russia",1-Jul-09,1-May-11,MTF,4.38,22.8,72.67,-,2.4 ,12.4 ,136 ,72.0 ,2947 ,14.7,JET-A1,1.924,100.43 -101.26,"1. Test engine 146-006/1A and test engine 146-101/3  2. Certification report CR-037 Rev.1 and CR-037 S1  3. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1PW035,JT15D-1 series,,Pratt & Whitney (Canada),Pratt & Whitney (Canada),"Longueuil, Quebec",17-Aug-77,-,TF,3.3,9.76,9.79,-,293.6 ,N/A,1866 ,665.2 ,263 ,19.3,Jet A-1,1.85,100.526,"1. Not required to meet GASEOUS emissions regulations.  2. Applicable to JT15D-1, -1A, -1B."
1PW036,JT15D-4 series,,Pratt & Whitney (Canada),Pratt & Whitney (Canada),"Longueuil, Quebec",1-Feb-73,-,TF,2.68,10.1,11.12,-,235.4 ,N/A,1706 ,492.6 ,409 ,18.1,Jet A-1,1.85,103.146,"1. Not required to meet GASEOUS emissions regulations.  2. Applicable to JT15D-4, -4B, -4C, -4D"
1PW037,"JT15D-5, -5A, -5B",,Pratt & Whitney (Canada),Pratt & Whitney (Canada),"Longueuil, Quebec",16-Apr-93,22-Apr-93,TF,2.1,12.3,12.90 ,-,738.9 ,N/A,5715 ,584.4 ,481 ,24.1,Jet A-1,1.85,99.42,1. Not required to meet GASEOUS emissions regulations.
1PW038,JT15D-5C,,Pratt & Whitney (Canada),Pratt & Whitney (Canada),"Longueuil, Quebec",13-Jul-93,13-Jul-93,TF,2.1,13.3,14.19,-,481.7 ,N/A,4439 ,543.9 ,454 ,20.1,Jet A-1,1.85,101.7,1. Not required to meet GASEOUS emissions regulations.
1PW001,JT3D-3B,,Pratt & Whitney,P&WA,"East Hartford, CT, USA.",8-Mar-72,12-Sep-74,TF,1.4,13.6,80.06,-,395.4 ,2017.6 ,24363 ,328.2 ,2740 ,63.9,Jet A,-,-,1. Emissions data estimated from JT3D-7 engines using JT3D-3B performance data.
1PW002,JT3D-7 series,14-57D,Pratt & Whitney,P&WA,"East Hartford, CT, USA.",,,TF,1.4,13.4,84.52,-,452.6 ,2309.4 ,24838 ,433.9 ,2909 ,66.9,Jet A,-,-,"1. Combustor 14-57D.  2. Applicable to JT3D-7, -7A"
1PW003,JT3D-7 series,Smoke fix  14-70KC,Pratt & Whitney,P&WA,"East Hartford, CT, USA.",,,TF,1.4,13.4,84.52,-,220.2 ,1123.7 ,,229.5 ,,23.2,Jet A,-,-,"1. Smoke fix combustor 14-70KC.  2. Applicable to JT3D-7, -7A."
1PW008,JT8D-11,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",26-Feb-80,18-Jun-80,MTF,1.00 ,17.17,66.72,-,39.5 ,201.6 ,2455 ,139.8 ,3740 ,24.0,Jet A,-,-,1. Reduced Emissions Combustor incorporated 1/1/84
1PW009,JT8D-15,Smoke  fix,Pratt & Whitney,P&WA,"E Hartford, CT, USA",Apr-76,Mar-77,MTF,1.03 ,16.81,68.94,-,43.4 ,221.2 ,2713 ,137.4 ,3989 ,25.3,Jet A,-,-,1. Smoke fix combustor in production prior to 1/1/84
1PW010,JT8D-15,Reduced emissions,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Dec-79,19-Jun-80,MTF,1.03 ,16.81,68.94,-,7.1 ,36.3 ,428 ,46.1 ,4144 ,17.3,Jet A,-,-,1. Reduced Emissions Combustor incorporated 1/1/84
1PW011,JT8D-15A,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Dec-79,19-Jun-80,MTF,1.08 ,16.45,68.94,-,9.4 ,47.8 ,497 ,50.6 ,3648 ,17.3,Jet A,-,-,1. Reduced Emissions Combustor incorporated 1/1/84
1PW012,JT8D-17,Smoke fix   ,Pratt & Whitney,P&WA,"E Hartford, CT, USA",Apr-76,Mar-77,MTF,1.01,17.01,71.17,-,41.0 ,209.4 ,2646 ,118.3 ,4283 ,25.5,Jet A,1.89,-,1. Smoke fix combustor in production prior to 1/1/84
1PW013,JT8D-17,Reduced emissions,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Dec-79,19-Jun-80,MTF,1.02,17.01,71.17,-,6.2 ,31.5 ,379 ,42.6 ,4559 ,18.5,Jet A,-,-,1. Reduced Emissions Combustor incorporated 1/1/84
1PW014,JT8D-17A,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Dec-79,19-Jun-80,MTF,1.05,16.87,71.17,-,8.6 ,43.8 ,1543 ,47.4 ,3935 ,18.5,Jet A,-,-,1. Reduced Emissions Combustor incorporated 1/1/84
1PW015,JT8D-17AR,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Dec-79,19-Jun-80,MTF,0.96,17.28,77.42,-,6.1 ,31.0 ,403 ,40.2 ,5039 ,21.6,Jet A,-,-,1. Reduced Emissions Combustor incorporated 1/1/84
1PW016,JT8D-17R,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Dec-79,19-Jun-80,MTF,0.97,18.24,77.42,-,4.9 ,25.0 ,329 ,37.6 ,5623 ,21.6,Jet A,-,-,1. Reduced Emissions Combustor incorporated 1/1/84
1PW017,JT8D-209,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Nov-83,30-Nov-83,MTF,1.80 ,18.30 ,85.60 ,-,18.8 ,95.9 ,1047 ,49.8 ,5075 ,14.3,Jet A,-,-,1. All measurements by traverse.  2. SCH 46-16B combustor.  
4PW068,JT8D-217,Environmental Kit (E_Kit),Pratt & Whitney,P&WA,"East Hartford, CT",24-Feb-99,2-Mar-99,MTF,1.73,19.66,92.74,-,0.0 ,0.0 ,0 ,48.9 ,4582 ,7.9,Jet A,-,98.8-103.1,"1. Environmental Kit (E-Kit) Combustor and Fuel Nozzles, incorporated 5/99"
1PW018,JT8D-217 series,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Nov-83,30-Nov-83,MTF,1.73,19.66,92.74,-,15.6 ,79.4 ,937 ,42.7 ,5985 ,17.1,Jet A,-,-,"1. All measurements by traverse.  2. SCH 46-16B combustor.  3. Applicable to JT8D-217, -217A, -217C."
4PW069,JT8D-217A,Environmental Kit (E_Kit),Pratt & Whitney,P&WA,"East Hartford, CT",24-Feb-99,2-Mar-99,MTF,1.73,19.66,92.74,-,0.0 ,0.0 ,0 ,48.9 ,4582 ,7.9,Jet A,-,98.8-103.1,"1. Environmental Kit (E-Kit) Combustor and Fuel Nozzles, incorporated 5/99"
4PW070,JT8D-217C,Environmental Kit (E_Kit),Pratt & Whitney,P&WA,"East Hartford, CT",24-Feb-99,2-Mar-99,MTF,1.70,19.05,92.74,-,0.0 ,0.0 ,0 ,56.2 ,4216 ,7.9,Jet A,-,98.8-103.1,"1. Environmental Kit (E-Kit) Combustor and Fuel Nozzles, incorporated 5/99"
1PW019,JT8D-219,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",7-Nov-83,30-Nov-83,MTF,1.70 ,20.27,96.52,-,15.2 ,77.8 ,951 ,41.1 ,6106 ,18.7,Jet A,-,-,1. All measurements by traverse.  2. SCH 46-16B combustor.  
4PW071,JT8D-219,Environmental Kit (E_Kit),Pratt & Whitney,P&WA,"East Hartford, CT",24-Feb-99,2-Mar-99,MTF,1.70,20.27,96.52,-,0.0 ,0.0 ,0 ,51.2 ,4604 ,8.9,Jet A,-,98.8-103.1,"1. Environmental Kit (E-Kit) Combustor and Fuel Nozzles, incorporated 5/99"
1PW004,JT8D-7 series,Smoke fix,Pratt & Whitney,P&WA,"E Hartford, CT, USA",Apr-76,Mar-77,MTF,1.05,15.82,62.27,-,39.9 ,203.8 ,2315 ,135.8 ,3078 ,23.2,Jet A,-,100-102,"1. Smoke fix combustor in production prior to 1/1/84.  2. Applicable to JT8D-7, -7A, -7B.  3. Tests performed on in-service engine(s)."
1PW005,JT8D-7 series,Reduced emissions,Pratt & Whitney,P&WA,"E Hartford, CT, USA",26-Feb-80,18-Jun-80,MTF,1.05,15.82,62.27,8PW085,17.2 ,87.6 ,830 ,52.9 ,3281 ,11.1,Jet A,-,-,"1. Reduced emissions combustor.  2. Applicable to JT8D-7, -7A, -7B."
8PW085,JT8D-7 series,Reduced emissions,Pratt & Whitney,P&WA,"E Hartford, CT, USA",26-Feb-80,18-Jun-80,MTF,1.05,15.82,62.27,-,17.2 ,87.6 ,830 ,58.0 ,3281 ,11.1,Jet A,-,-,"1. Reduced emissions combustor.  2. Applicable to JT8D-7, -7A, -7B.  3. Factor used for calculation of Dp/Foo CO [1PW005] was based on number of tests not engines.  4. Corrected in version15"
1PW006,JT8D-9 series,Smoke fix,Pratt & Whitney,P&WA,"E Hartford, CT, USA",Apr-76,Mar-77,MTF,1.04,15.88,64.5,-,37.6 ,191.7 ,2256 ,129.0 ,3370 ,24.0,Jet A,1.89,100-102,"1. Smoke fix combustor in production prior to 1/1/84.  2. Applicable to JT8D-9, -9A."
1PW007,JT8D-9 series,Reduced emissions,Pratt & Whitney,P&WA,"E Hartford, CT, USA",26-Feb-80,18-Jun-80,MTF,1.04,15.88,64.5,-,14.4 ,73.7 ,713 ,57.2 ,3488 ,11.8,Jet A,-,-,"1. Reduced Emissions Combustor incorporated 1/1/84.  2. Applicable to JT8D-9, -9A."
1PW031,JT9D-20,,Pratt & Whitney,"NGTE, Pyestock, UK","British Airways Engine Overhaul Ltd, Wales",Mar-76,Jul-77,TF,-,20.3,205.3,8PW088,64.0 ,326.6 ,12108 ,145.6 ,12291 ,14.5,DERD2494,-,97.9-101.7,"1. Emissions estimated from JT9D-7 engines using JT9D-7A performance data.  2. Tests performed on in-service engine(s), after overhaul."
8PW088,JT9D-20,,Pratt & Whitney,"NGTE, Pyestock, UK","British Airways Engine Overhaul Ltd, Wales",Mar-76,Jul-77,TF,-,20.3,205.3,-,64.0 ,326.6 ,12108 ,145.6 ,12291 ,12.9,DERD2494,-,97.9-101.7,"1. Emissions estimated from JT9D-7 engines using JT9D-7A performance data.  2. Tests performed on in-service engine(s), after overhaul.  3. SN (char) wrongly calculated originally [1PW031].  4. Corrected to 12.9 SN in version 15 and % of standard recalculated"
1PW032,JT9D-20J,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",16-Sep-80,,TF,5.1,23.5,222.4,-,64.7 ,330.1 ,9178 ,145.9 ,15885 ,20.8,Jet A,-,-,-
1PW033,JT9D-59A,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",Apr-76,Apr-76,TF,4.9,24.5 ,235.8,-,26.0 ,132.8 ,4559 ,107.6 ,12381 ,10.3,Jet A,1.89,97-100,-
1PW020,JT9D-7,,Pratt & Whitney,"NGTE, Pyestock, UK","British Airways Engine Overhaul Ltd, Wales",Mar-76,Jul-77,TF,-,21.5,202.4,8PW086,65.1 ,332.1 ,12179 ,147.9 ,11892 ,14.0,DERD2494,-,97.9-101.7,"Tests performed on in-service engine(s), after overhaul."
8PW086,JT9D-7,,Pratt & Whitney,"NGTE, Pyestock, UK","British Airways Engine Overhaul Ltd, Wales",Mar-76,Jul-77,TF,-,21.5,202.4,-,65.1 ,332.1 ,12179 ,147.9 ,11892 ,12.5,DERD2494,-,97.9-101.7,"1. Tests performed on in-service engine(s), after overhaul.  2. SN (char) wrongly calculated originally [1PW020].  3. Corrected to 12.5 SN in version 15 and % of standard recalculated"
1PW034,JT9D-70A,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",Apr-76,Apr-76,TF,4.9,24.5 ,235.8,-,26.0 ,132.8 ,4559 ,107.6 ,12381 ,10.3,Jet A,1.89,97-100,-
1PW021,JT9D-7A,,Pratt & Whitney,"NGTE, Pyestock, UK","British Airways Engine Overhaul Ltd, Wales",Mar-76,Jul-77,TF,-,20.3,205.3,8PW087,64.0 ,326.6 ,12108 ,145.6 ,12291 ,14.5,DERD2494,-,97.9-101.7,"1. Emissions estimated from JT9D-7 engines using JT9D-7A performance data.  2. Tests performed on in-service engine(s), after overhaul."
8PW087,JT9D-7A,,Pratt & Whitney,"NGTE, Pyestock, UK","British Airways Engine Overhaul Ltd, Wales",Mar-76,Jul-77,TF,-,20.3,205.3,-,64.0 ,326.6 ,12108 ,145.6 ,12291 ,12.9,DERD2494,-,97.9-101.7,"1. Emissions estimated from JT9D-7 engines using JT9D-7A performance data.  2. Tests performed on in-service engine(s), after overhaul.  3. SN (char) wrongly calculated originally [1PW021].  4. Corrected to 12.9 SN in version 15 and % of standard recalculated"
1PW022,JT9D-7F,Mod V,Pratt & Whitney,P&WA,"E Hartford, CT, USA",Nov-75,Dec-75,TF,5.1,22.8 ,213.5,-,48.1 ,245.4 ,9055 ,96.1 ,14424 ,4.3,Jet A,1.89,99-103,1. Mod V combustor
1PW023,JT9D-7F,Mod VI,Pratt & Whitney,P&WA,"E Hartford, CT, USA",16-Sep-80,,TF,5.1,22.8,213.5,-,70.1 ,357.7 ,9464 ,153.6 ,13703 ,20.8,Jet A,-,-,1. Mod VI combustor
1PW024,JT9D-7J,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",16-Sep-80,,TF,5.1,23.5,222.4,-,64.7 ,330.1 ,9178 ,145.9 ,15885 ,20.8,Jet A,-,-,-
1PW025,JT9D-7Q,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",Apr-76,Apr-76,TF,4.9,24.5 ,235.75,-,26.0 ,132.8 ,4559 ,107.6 ,12381 ,10.3,Jet A,1.89,97-100,-
1PW026,"JT9D-7R4D, -7R4D1",,Pratt & Whitney,P&WA,"E Hartford, CT, USA",6-Mar-80,3-Nov-81,TF,5.0 ,23.40 ,213.5 ,-,2.4 ,12.5 ,464 ,16.2 ,13067 ,5.0,Jet A,-,-,-
1PW027,"JT9D-7R4E, -7R4E1",,Pratt & Whitney,P&WA,"E Hartford, CT, USA",6-Mar-80,3-Nov-81,TF,5.0 ,24.2 ,222.4 ,-,2.3 ,11.9 ,447 ,15.7 ,14527 ,5.4,Jet A,-,-,-
1PW028,"JT9D-7R4E4, -E1(H)",,Pratt & Whitney,P&WA,"E Hartford, CT, USA",26-Oct-81,10-Apr-83,TF,5.0 ,24.2,222.41,-,6.4 ,32.7 ,1231 ,29.1 ,13117 ,4.7,Jet A,-,-,-
1PW029,JT9D-7R4G2,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",26-Oct-81,10-Sep-83,TF,4.8,26.3,243.5 ,-,2.9 ,14.9 ,620 ,20.7 ,14253 ,7.5,Jet A,-,-,-
1PW030,JT9D-7R4H1,,Pratt & Whitney,P&WA,"E Hartford, CT, USA",26-Oct-81,10-Sep-83,TF,4.8,26.7,249.1,-,3.0 ,15.5 ,651 ,21.7 ,15683 ,8.4,Jet A,-,-,-
1PW039,PW2037,,Pratt & Whitney,P&WA,"X-8 Stand, PWA, East Hartford, CT",8-Aug-83,10-Aug-83,TF,6.04,26.9,167.25,4PW072,4.9 ,24.8 ,530 ,39.3 ,8107 ,14.7,Jet A,-,100.94,-
4PW072,PW2037,,Pratt & Whitney,P&WA,"East Hartford, CT",8-Aug-83,20-Nov-98,TF,5.71,26.7,166.35,-,3.6 ,18.4 ,472 ,38.3 ,8120 ,12.3,Jet A,-,100.61 - 100.94,1. Revision to add second engine test.
1PW040,PW2040,,Pratt & Whitney,-,-,8-Aug-83,10-Aug-83,TF,-,27.94,181.76,4PW073,5.1 ,25.9 ,574 ,43.2 ,10025 ,15.2,Jet A,-,100.94,-
4PW073,PW2040,,Pratt & Whitney,P&WA,"East Hartford, CT",8-Aug-83,20-Nov-98,TF,5.54,29.4,182.02,-,3.0 ,15.3 ,426 ,32.6 ,9989 ,12.5,Jet A,-,100.61 - 100.94,1. Revision to add second engine test.
7PW077,PW306A,Annular,Pratt & Whitney Canada Inc.,PW306 Development Engineering,"Mississauga, Ontario, Canada",8-May-00,20-Jul-00,MTF,4.5,20,26.87,-,12.4 ,63.3 ,287 ,107.5 ,1497 ,4.3,Jet A-1,1.85 - 1.87,98.39 - 99.49,"1. P&WC EC C2264A  2. Engines E9541/02, E9402/37,  E9403/74  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
7PW078,PW306B,Annular,Pratt & Whitnet Canada Inc.,PE306 Development Engineering,"Mississauga, Ontario, Canada",8-May-00,20-Jul-00,MTF,4.5,20,26.91,-,12.4 ,63.3 ,287 ,107.5 ,1497 ,4.3,Jet A-1,1.85 - 1.87,98.39 - 99.49,"1. P&WC EC C2264A  2. Engines E9541/02, E9402/37, E9403/74"
11PW100,PW307A,TALON II,Pratt & Whitney Canada Inc.,PW307 Development Engeneering,"Mississauga, Ontario, Canada",7-Aug-07,2-Oct-07,TF,4.2,20.21,28.49,-,9.2 ,46.9 ,226 ,109.1 ,1045 ,1.8,Jet A-1,186 - 1.88,99.15 - 100.25,"1. P&W ER 5606 revision AEngines tested: E9819/09, CH0004/13, CH0004/14  2. Weight reduced fuel nozzles and CCOCEngines CH499 onwards incorporate this combustion system and design standard  3. Defined by P&W Engeneering Change D5216  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
8PW090,PW307A,TALON II,Pratt & Whitney Canada Inc.,PW307 Development Engineering,"Mississauga, Ontario, Canada",30-Dec-04,25-Jan-05,MTF,4.2,20.21,28.49,-,14.6,74.5,357,92.2,1193,2.1,Jet A-1,1.85 - 1.87,98.39 - 100.80,"1. P&WC ER 5597  2. Engines tested: CH0004/02, CH0005/01, CH0007/03  3. Type-Certification combustor"
8PW091,PW307A,TALON II,Pratt & Whitney Canada Inc.,PW307 Development Engineering,"Mississauga, Ontario, Canada",28-Dec-04,27-Feb-05,MTF,4.2,20.21,28.49,-,8.2,41.8,202,90.3,1155,2.1,Jet A-1,1.86 - 1.89,99.28 - 100.94,"1. P&WC ER 5606  2. Engines tested: E9812/12, CH0010/01, CH0011/01  3. Post Type-Certification combustor  4. All engines entering revenue service incorporate this combustor design standard  5. Defined by P&WC Engineering Change D5054"
7PW079,PW308A,Annular,Pratt & Whitney Canada Inc,PW308 Development Engineering,"Mississauga, Ontario, Canada",15-Apr-00,5-Sep-00,MTF,4.1,20.4,30.71,-,17.5 ,89.3 ,460 ,99.6 ,1300 ,17.1,Jet A-1,1.85 - 1.87,99.42 - 103.00,"1. P&WC ER 3967  2. Engines E9608/01, E9606/04, E9609/01  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
7PW080,PW308C,Annular,Pratt & Whitney Canada Inc.,PW308 Development Engineering,"Mississauga, Ontario, Canada",7-Aug-01,31-Aug-01,MTF,4.1,20.7,31.15,-,15.9 ,81.1 ,425 ,109.8 ,1414 ,8.3,Jet A-1,1.85 - 1.86,98.94 - 100.73,"1. P&WC ER 5080  2. Engines E9633/01, E9631/07, CF0001/03  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1PW041,PW4056,,Pratt & Whitney,Pratt & Whitney,"P7 Stand, P&W, Middletown, CT",14-May-86,14-May-86,TF,4.7,29.3,252.4,-,1.8 ,9.4 ,288 ,17.4 ,13043 ,18.4,Jet A,1.87,101.63,-
1PW042,PW4056,Reduced smoke,Pratt & Whitney,-,-,17-Aug-87,23-Aug-87,TF,4.7,29.3,249.1,-,4.0 ,20.4 ,652 ,37.4 ,11987 ,10.0,Jet A,1.88,100.2,Data from X698-5 with reduced smoke combustor.
1PW043,PW4060,Reduced smoke,Pratt & Whitney,-,-,17-Aug-87,23-Aug-87,TF,4.5,32.4,266.9,-,3.4 ,17.3 ,595 ,33.3 ,14097 ,10.7,Jet A,1.88,100.2,Data from X698-5 with reduced smoke combustor.
2PW060,PW4074,,Pratt and Whitney,Pratt and Whitney,"East Hartford, Ct, USA",26-Apr-94,2-May-94,TF,6.8,32.2,333.2,-,5.7 ,29.1 ,1220 ,28.1 ,18078 ,8.2,Jet A,1.92,101.3,Data from X832-4
10PW096,PW4074D,Floatwall,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",13-Apr-10,13-Apr-10,TF,6.7,32.3,344.5,-,5.67,28.90,1501.9,42.61,20269.1,4.9,Jet A,1.85 - 1.92,101.1 - 102.5,"1. Data updated to reflect additional engine test as well as updated engine performance.  2. Additional engine tested to show CAEP/4 compliance.  3. Certification in accordance with Part III, Chapter 2, of Amendment 4 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 c) (CAEP/4)"
3PW063,PW4074D,,Pratt & Whitney,Pratt & Whitney,"East Hartford, Conn, USA",15-Jun-96,16-Jun-96,TF,6.7,31.76,333.2,-,8.9 ,45.4 ,1926 ,47.9 ,19971 ,4.4,Jet A,-,101.06-101.56,Data from Report PWA-6678
2PW061,PW4077,,Pratt and Whitney,Pratt and Whitney,"East Hartford, Ct, USA",26-Apr-94,2-May-94,TF,6.7,33.2,343.0 ,-,5.2 ,26.5 ,1170 ,26.6 ,19299 ,9.5,Jet A,1.92,101.3,Data from X832-4
10PW097,PW4077D,Floatwall,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",13-Apr-10,13-Apr-10,TF,6.6,33.3,355.7,,5.05,25.80,1381.7,39.5,21799.9,5.7,Jet A,1.85 - 1.92,101.1 - 102.5,"1. Data updated to reflect additional engine test as well as updated engine performance.  2. Additional engine tested to show CAEP/4 compliance.  3. Certification in accordance with Part III, Chapter 2, of Amendment 4 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 c) (CAEP/4)"
3PW064,PW4077D,,Pratt & Whitney,Pratt & Whitney,"East Hartford, Conn, USA",15-Jun-96,16-Jun-96,TF,6.6,32.83,343.0,10PW097,8.1 ,41.3 ,1805 ,45.2 ,21528 ,4.8,Jet A,-,101.06-101.56,Data from Report PWA-6678
2PW062,PW4084,,Pratt and Whitney,Pratt and Whitney,"East Hartford, Ct, USA",26-Apr-94,2-May-94,TF,6.4,36.2,369.6,8PW089,4.5 ,23.0 ,1111 ,23.0 ,23229 ,13.5,Jet A,1.92,101.3,Data from X832-4
8PW089,PW4084,,Pratt and Whitney,Pratt and Whitney,"East Hartford, Ct, USA",26-Apr-94,2-May-94,TF,6.4,36.2,369.6,-,4.5 ,23.0 ,1111 ,23.9 ,23229 ,13.5,Jet A,1.92,101.3,1. Data from X832-4  2. Dp/Foo CO (char) wrongly entered originally as 23.0 [2PW062].  3. Corrected in version 15 to 23.9 and % of standard recalculated
10PW098,PW4084D,Floatwall,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",13-Apr-10,13-Apr-10,TF,6.2,36.3,385.9,,3.72,19.00,1102,32.25,26498,8.8,Jet A,1.85 - 1.92,101.1 - 102.5,"1. Data updated to reflect additional engine test as well as updated engine performance.  2. Additional engine tested to show CAEP/4 compliance.  3. Certification in accordance with Part III, Chapter 2, of Amendment 4 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 c) (CAEP/4)"
3PW065,PW4084D,,Pratt & Whitney,Pratt & Whitney,"East Hartford, Conn, USA",15-Jun-96,16-Jun-96,TF,6.3,36.36,369.6,10PW098,5.6 ,28.6 ,1353 ,35.1 ,26662 ,6.9,Jet A,-,101.06-101.56,Data from Report PWA-6678
10PW099,PW4090,Floatwall,Pratt & Whitney,Pratt & Whitney,"Middletown, CT",13-Apr-10,13-Apr-10,TF,6,38.9,408.3,,1.23,6.30,384,18.39,31122,12.3,Jet A,1.85 - 1.92,101.1 - 102.5,"1. Data updated to reflect additional engine test as well as updated engine performance.  2. Additional engine tested to show CAEP/4 compliance.  3. Certification in accordance with Part III, Chapter 2, of Amendment 4 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 c) (CAEP/4)"
3PW066,PW4090,,Pratt & Whitney,Pratt & Whitney,"East Hartford, Conn, USA",15-Jun-96,16-Jun-96,TF,6.1,39.16,395.0,10PW099,3.9 ,19.9 ,992 ,27.5 ,31629 ,9.2,Jet A,-,101.06-101.56,Data from Report PWA-6678
5PW076,PW4098,,Pratt and Whitney,Pratt and Whitney,"East Hartford, Conn. USA",3-Jan-98,4-Jan-98,TF,-,41.37,424.1,-,0.0 ,0.0 ,0 ,10.2 ,32265 ,12.0,Jet A,1.9,101.7 - 102.5,1. Data from Report PWA-6726-01
1PW044,PW4152,,Pratt & Whitney,Pratt& Whitney,"P7 Stand, P&W, Middletown, CT",14-May-86,14-May-86,TF,4.9,26.9,231.3,-,2.0 ,10.2 ,275 ,20.9 ,10741 ,16.3,Jet A,1.87,101.63,-
1PW045,PW4152,Reduced smoke,Pratt & Whitney,-,-,17-Aug-87,23-Aug-87,TF,4.9,26.9,231.27,-,4.9 ,25.1 ,734 ,42.7 ,10381 ,9.0,Jet A,1.88,100.2,Data from X698-5 with reduced smoke combustor.
1PW046,PW4156,,Pratt & Whitney,Pratt & Whitney,"P7 Stand, P&W, Middletown, CT",14-May-86,14-May-86,TF,4.7,29.3,252.4,-,1.8 ,9.4 ,288 ,17.4 ,13043 ,18.4,Jet A,1.87,101.63,-
1PW047,PW4156,Reduced smoke,Pratt & Whitney,-,-,17-Aug-87,23-Aug-87,TF,4.7,29.3,249.1,-,4.0 ,20.4 ,652 ,37.4 ,11987 ,10.0,Jet A,1.88,100.2,Data from X698-5 with reduced smoke combustor.
1PW048,PW4158,Reduced smoke,Pratt & Whitney,-,-,17-Aug-87,23-Aug-87,TF,4.6,30.7,258.0 ,-,3.7 ,18.9 ,623 ,35.2 ,12928 ,10.4,Jet A,1.88,100.2,Data from X698-5 with reduced smoke combustor.
1PW049,PW4164,Floatwall,Pratt & Whitney,Pratt & Whitney,"East Hartford, CT",14-Feb-93,17-Feb-93,TF,5.2,31.24,284.68,-,8.2 ,41.6 ,1505 ,40.5 ,17232 ,4.2,Jet A,1.89,101.3,Data from X821-3 with Floatwall Combustor
